"","v_timBn","v_nt_tm","v_eag","v_lag","v_mag","v_pllng","v_pallt","v_n_spc","Nrth_Nr","Sth_Nrt","Sth_Sth","Nrth_St","prcnt_n","prcnt_s","lg_v_lg","log_v_g","lg_v_mg","TIME","PLATEID","TIME.1","PLATEID1","NAME"
"1",0.5,"(0,1]",0.126,0.012,0.069,-100.31,37.09,24,23,1,0,0,95.83,4.17,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"2",0.5,"(0,1]",0.126,0.012,0.069,-100.69,36.79,14,14,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"3",0.5,"(0,1]",0.781,0.126,0.454,-101.26,42.14,16,15,1,0,0,93.75,6.25,-2.07147337203066,-0.247180129142451,-0.789658080940789,0.5,101,0.5,10024,"NA TeG 2"
"4",0.5,"(0,1]",0.126,0.012,0.069,-103.9,50.8,10,10,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"5",0.5,"(0,1]",0.077,0.007,0.042,-104.2,31.18,51,50,1,0,0,98.04,1.96,-4.96184512992682,-2.56394985712845,-3.17008566069877,0.5,101,0.5,10024,"NA TeG 2"
"6",0.5,"(0,1]",0.126,0.012,0.069,-104.42,32.28,49,47,2,0,0,95.92,4.08,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"7",0.5,"(0,1]",0.126,0.012,0.069,-104.78,32.35,39,39,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"8",0.5,"(0,1]",0.126,1e-04,0.063,-104.8,27,32,32,0,0,0,100,0,-9.21034037197618,-2.07147337203066,-2.7646205525906,0.5,101,0.5,10024,"NA TeG 2"
"9",0.5,"(0,1]",0.126,0.012,0.069,-105,37.3,13,13,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"10",0.5,"(0,1]",0.126,0.012,0.069,-105.68,42.78,20,20,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"11",0.5,"(0,1]",0.781,0.126,0.454,-105.75,37.37,26,26,0,0,0,100,0,-2.07147337203066,-0.247180129142451,-0.789658080940789,0.5,101,0.5,10027,"NA TeF"
"12",0.5,"(0,1]",0.126,0.012,0.069,-106.52,52.14,23,23,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"13",0.5,"(0,1]",0.126,0.012,0.069,-106.88,34.88,40,39,1,0,0,97.5,2.5,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10027,"NA TeF"
"14",0.5,"(0,1]",0.126,0.012,0.069,-107.15,38.48,24,24,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10027,"NA TeF"
"15",0.5,"(0,1]",0.126,0.012,0.069,-108.2,44.98,24,24,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10027,"NA TeF"
"16",0.5,"(0,1]",0.126,0.012,0.069,-108.4,31.57,54,52,2,0,0,96.3,3.7,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10027,"NA TeF"
"17",0.5,"(0,1]",0.3,0.012,0.156,-109.65,29.68,24,19,5,0,0,79.17,20.83,-4.42284862919414,-1.20397280432594,-1.8578992717326,0.5,101,0.5,10046,"NA TeG 3"
"18",0.5,"(0,1]",0.126,0.012,0.069,-110.2,32,13,12,1,0,0,92.31,7.69,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10027,"NA TeF"
"19",0.5,"(0,1]",0.126,1e-04,0.063,-110.65,32.55,22,21,1,0,0,95.45,4.55,-9.21034037197618,-2.07147337203066,-2.7646205525906,0.5,101,0.5,10046,"NA TeG 3"
"20",0.5,"(0,1]",0.126,0.012,0.069,-110.65,36.57,12,11,1,0,0,91.67,8.33,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10046,"NA TeG 3"
"21",0.5,"(0,1]",0.126,0.012,0.069,-110.7,50.1,28,26,2,0,0,92.86,7.14,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10024,"NA TeG 2"
"22",0.5,"(0,1]",0.126,0.012,0.069,-111.2,40.9,22,20,2,0,0,90.91,9.09,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,178,0.5,10046,"NA TeG 3"
"23",0.5,"(0,1]",0.126,0.012,0.069,-111,29.4,12,12,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,104,0.5,10046,"NA TeG 3"
"24",0.5,"(0,1]",0.126,0.012,0.069,-111.9,40.61,10,9,1,0,0,90,10,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,178,0.5,10046,"NA TeG 3"
"25",0.5,"(0,1]",0.126,0.012,0.069,-112.25,32.47,10,9,1,0,0,90,10,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10046,"NA TeG 3"
"26",0.5,"(0,1]",0.126,0.012,0.069,-112.58,44.63,15,15,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,160,0.5,10027,"NA TeF"
"27",0.5,"(0,1]",0.126,0.012,0.069,-112.9,42.8,39,36,3,0,0,92.31,7.69,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,178,0.5,10046,"NA TeG 3"
"28",0.5,"(0,1]",0.051,0.004,0.027,-113.1,46.64,36,36,0,0,0,100,0,-5.52146091786225,-2.97592964625781,-3.61191841297781,0.5,160,0.5,10027,"NA TeF"
"29",0.5,"(0,1]",0.126,1e-04,0.063,-114.03,39.48,45,45,0,0,0,100,0,-9.21034037197618,-2.07147337203066,-2.7646205525906,0.5,178,0.5,10046,"NA TeG 3"
"30",0.5,"(0,1]",0.012,1e-04,0.006,-114.37,35.23,26,25,1,0,0,96.15,3.85,-9.21034037197618,-4.42284862919414,-5.11599580975408,0.5,178,0.5,10046,"NA TeG 3"
"31",0.5,"(0,1]",0.126,0.012,0.069,-114.52,50.18,29,29,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,160,0.5,10027,"NA TeF"
"32",0.5,"(0,1]",1.8,0.012,0.906,-116.78,34.84,13,12,1,0,0,92.31,7.69,-4.42284862919414,0.587786664902119,-0.098715972939158,0.5,101,0.5,10046,"NA TeG 3"
"33",0.5,"(0,1]",1.8,0.012,0.906,-117.18,33.34,26,25,1,0,0,96.15,3.85,-4.42284862919414,0.587786664902119,-0.098715972939158,0.5,106,0.5,10046,"NA TeG 3"
"34",0.5,"(0,1]",0.224,0.012,0.118,-117.8,33.6,19,17,2,0,0,89.47,10.53,-4.42284862919414,-1.4961092271271,-2.13707065451647,0.5,106,0.5,10046,"NA TeG 3"
"35",0.5,"(0,1]",0.156,0.012,0.084,-118.19,33.92,53,49,4,0,0,92.45,7.55,-4.42284862919414,-1.8578992717326,-2.47693848013882,0.5,106,0.5,10046,"NA TeG 3"
"36",0.5,"(0,1]",0.126,0.012,0.069,-120.4,36.1,14,14,0,0,0,100,0,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,176,0.5,10046,"NA TeG 3"
"37",0.5,"(0,1]",0.126,0.012,0.069,-120.5,43.33,21,20,1,0,0,95.24,4.76,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,173,0.5,10046,"NA TeG 3"
"38",0.5,"(0,1]",0.126,0.012,0.069,-121.01,38.91,24,21,3,0,0,87.5,12.5,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,176,0.5,10027,"NA TeF"
"39",0.5,"(0,1]",0.126,0.012,0.069,-121.5,38.6,15,14,1,0,0,93.33,6.67,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,176,0.5,10046,"NA TeG 3"
"40",0.5,"(0,1]",0.126,0.012,0.069,-122.1,37.9,10,9,1,0,0,90,10,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,176,0.5,10046,"NA TeG 3"
"41",0.5,"(0,1]",0.126,0.012,0.069,-122.25,40.85,61,57,4,0,0,93.44,6.56,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,178,0.5,10046,"NA TeG 3"
"42",0.5,"(0,1]",0.781,0.126,0.454,-139.31,63.07,13,13,0,0,0,100,0,-2.07147337203066,-0.247180129142451,-0.789658080940789,0.5,125,0.5,10027,"NA TeF"
"43",0.5,"(0,1]",0.187,0.022,0.105,-139.89,68.03,27,26,1,0,0,96.3,3.7,-3.81671282562382,-1.67664666212755,-2.25379492882461,0.5,118,0.5,10021,"NA TeG 1"
"44",0.5,"(0,1]",0.126,1e-04,0.063,-37.83,-5.67,15,0,0,7,8,53.33,46.67,-9.21034037197618,-2.07147337203066,-2.7646205525906,0.5,201,0.5,10012,"SA TrG 2"
"45",0.5,"(0,1]",0.126,1e-04,0.063,-40.86,-10.16,25,0,0,9,16,64,36,-9.21034037197618,-2.07147337203066,-2.7646205525906,0.5,201,0.5,10012,"SA TrG 2"
"46",0.5,"(0,1]",0.126,1e-04,0.063,-41.06,-10.93,11,0,0,5,6,54.55,45.45,-9.21034037197618,-2.07147337203066,-2.7646205525906,0.5,201,0.5,10012,"SA TrG 2"
"47",0.5,"(0,1]",0.126,0.012,0.069,-42.66,-8.98,33,0,0,16,17,51.52,48.48,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,201,0.5,10012,"SA TrG 2"
"48",0.5,"(0,1]",0.781,0.012,0.396,-56.26,-34.42,12,0,0,9,3,25,75,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,202,0.5,20027,"Pampa"
"49",0.5,"(0,1]",0.781,0.012,0.396,-56.46,-30.42,24,0,0,13,11,45.83,54.17,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,202,0.5,20027,"Pampa"
"50",0.5,"(0,1]",0.781,0.012,0.396,-57.13,-34.07,48,0,0,30,18,37.5,62.5,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,202,0.5,20027,"Pampa"
"51",0.5,"(0,1]",0.94,0.304,0.622,-57.75,-38.36,24,0,0,20,4,16.67,83.33,-1.19072757757592,-0.061875403718088,-0.474815186242958,0.5,202,0.5,20027,"Pampa"
"52",0.5,"(0,1]",0.802,0.05,0.426,-57.94,-35.99,19,0,0,13,6,31.58,68.42,-2.99573227355399,-0.220646671115623,-0.853315932712767,0.5,202,0.5,20027,"Pampa"
"53",0.5,"(0,1]",0.084,0.007,0.046,-58.05,-37.91,18,0,0,10,8,44.44,55.56,-4.96184512992682,-2.47693848013882,-3.07911388249304,0.5,202,0.5,20027,"Pampa"
"54",0.5,"(0,1]",0.977,0.012,0.494,-58.21,-27.86,13,0,0,7,6,46.15,53.85,-4.42284862919414,-0.023268626939354,-0.705219761794215,0.5,201,0.5,20015,"Chaco"
"55",0.5,"(0,1]",0.781,0.012,0.396,-58.7,-38.57,17,0,0,11,6,35.29,64.71,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,202,0.5,20027,"Pampa"
"56",0.5,"(0,1]",0.781,0.012,0.396,-60.38,-37.33,10,0,0,8,2,20,80,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,202,0.5,20027,"Pampa"
"57",0.5,"(0,1]",0.012,1e-04,0.006,-60.38,-37,10,0,0,7,3,30,70,-9.21034037197618,-4.42284862919414,-5.11599580975408,0.5,202,0.5,20027,"Pampa"
"58",0.5,"(0,1]",0.781,0.012,0.396,-60.6,-38.75,13,0,0,6,7,53.85,46.15,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,202,0.5,20015,"Chaco"
"59",0.5,"(0,1]",0.781,0.012,0.396,-61.34,-38.99,13,0,0,10,3,23.08,76.92,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,202,0.5,20015,"Chaco"
"60",0.5,"(0,1]",0.384,0.052,0.218,-61.92,-38.43,65,0,0,37,28,43.08,56.92,-2.95651156040071,-0.95711272639441,-1.52326021619305,0.5,202,0.5,20015,"Chaco"
"61",0.5,"(0,1]",0.551,0.245,0.398,-63.01,-20.88,61,0,0,33,28,45.9,54.1,-1.40649706843741,-0.596020469829223,-0.921303273697699,0.5,201,0.5,20015,"Chaco"
"62",0.5,"(0,1]",0.218,0.078,0.148,-64.67,-21.62,26,0,0,12,14,53.85,46.15,-2.55104645229255,-1.52326021619305,-1.91054300521802,0.5,201,0.5,20006,"Andes"
"63",0.5,"(0,1]",0.126,0.012,0.069,-65.7,-26.92,15,0,0,3,12,80,20,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,291,0.5,20012,"Yungas (AH)"
"64",0.5,"(0,1]",0.126,0.012,0.069,-69.55,11.4,16,0,0,7,9,56.25,43.75,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,228,0.5,10006,"SA TrG 1"
"65",0.5,"(0,1]",0.103,0.009,0.056,-69.79,-52.11,11,0,0,3,8,72.73,27.27,-4.71053070164592,-2.2730262907525,-2.88240358824699,0.5,280,0.5,20009,"Patagonia"
"66",0.5,"(0,1]",0.126,0.007,0.066,-71.51,-31.93,10,0,0,2,8,80,20,-4.96184512992682,-2.07147337203066,-2.71810053695571,0.5,291,0.5,20024,"Chile Central"
"67",0.5,"(0,1]",0.126,0.012,0.069,-72.24,10.8,29,0,0,13,16,55.17,44.83,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,225,0.5,10006,"SA TrG 1"
"68",0.5,"(0,1]",0.102,0.009,0.055,-78.57,38.62,94,93,1,0,0,98.94,1.06,-4.71053070164592,-2.28278246569787,-2.90042209374967,0.5,101,0.5,10027,"NA TeF"
"69",0.5,"(0,1]",0.126,0.009,0.067,-79.6,38.29,98,93,5,0,0,94.9,5.1,-4.71053070164592,-2.07147337203066,-2.70306265959117,0.5,101,0.5,10027,"NA TeF"
"70",0.5,"(0,1]",0.342,0.034,0.188,-80.19,32.83,28,21,7,0,0,75,25,-3.38139475436598,-1.07294454191953,-1.67131331615219,0.5,101,0.5,10027,"NA TeF"
"71",0.5,"(0,1]",0.126,0.012,0.069,-80.17,26.7,14,12,2,0,0,85.71,14.29,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,233,0.5,10027,"NA TeF"
"72",0.5,"(0,1]",0.126,0.012,0.069,-80.4,27.64,24,22,2,0,0,91.67,8.33,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,101,0.5,10027,"NA TeF"
"73",0.5,"(0,1]",0.126,0.012,0.069,-80.4,25.7,43,40,3,0,0,93.02,6.98,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,233,0.5,10027,"NA TeF"
"74",0.5,"(0,1]",0.228,0.012,0.12,-80.46,28.06,49,40,9,0,0,81.63,18.37,-4.42284862919414,-1.4784096500277,-2.12026353620009,0.5,101,0.5,10027,"NA TeF"
"75",0.5,"(0,1]",0.11,0.006,0.058,-80.68,37.3,46,46,0,0,0,100,0,-5.11599580975408,-2.20727491318972,-2.84731226843572,0.5,101,0.5,10027,"NA TeF"
"76",0.5,"(0,1]",0.126,0.012,0.069,-80.5,-4.7,17,0,0,6,11,64.71,35.29,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,201,0.5,10036,"SA TrG 3"
"77",0.5,"(0,1]",0.126,0.012,0.069,-80.63,7.92,10,3,7,0,0,30,70,-4.42284862919414,-2.07147337203066,-2.67364877438488,0.5,230,0.5,10043,"NA TrF 3"
"78",0.5,"(0,1]",0.781,0.012,0.396,-80.85,-2.27,14,0,0,8,6,42.86,57.14,-4.42284862919414,-0.247180129142451,-0.926341067727656,0.5,201,0.5,10036,"SA TrG 3"
"79",0.5,"(0,1]",0.225,0.026,0.125,-81.59,36.91,85,82,3,0,0,96.47,3.53,-3.64965874096066,-1.49165487677772,-2.07944154167984,0.5,101,0.5,10027,"NA TeF"
