,SCIENTIFIC_NAME,GENUS,FAMILY,ORDER,Origin_Class,Equivalent,Equivalent_source
2,Abrocoma_bennetti,Abrocoma,Abrocomidae,Rodentia,South_America,Abrocoma_bennettii,VertLife
7,Aepeomys_fuscatus,Aepeomys,Muridae,Rodentia,North_America,Handleyomys_fuscatus,VertLife
9,Agouti_paca,Agouti,Agoutidae,Rodentia,South_America,Cuniculus_paca,VertLife
10,Agouti_taczanowskii,Agouti,Agoutidae,Rodentia,South_America,Cuniculus_taczanowskii,VertLife
22,Akodon_hershkovitzi,Akodon,Muridae,Rodentia,North_America,Abrothrix_hershkovitzi,VertLife
23,Akodon_illuteus,Akodon,Muridae,Rodentia,North_America,Abrothrix_illuteus,VertLife
26,Akodon_kempi,Akodon,Muridae,Rodentia,North_America,Deltamys_kempi,VertLife
28,Akodon_lanosus,Akodon,Muridae,Rodentia,North_America,Abrothrix_lanosus,VertLife
31,Akodon_longipilis,Akodon,Muridae,Rodentia,North_America,Abrothrix_longipilis,VertLife
32,Akodon_mansoensis,Akodon,Muridae,Rodentia,North_America,Abrothrix_olivaceus,ASM
37,Akodon_nigrita,Akodon,Muridae,Rodentia,North_America,Thaptomys_nigrita,VertLife
38,Akodon_olivaceus,Akodon,Muridae,Rodentia,North_America,Abrothrix_olivaceus,VertLife
40,Akodon_puer,Akodon,Muridae,Rodentia,North_America,Akodon_lutescens,ASM
41,Akodon_sanborni,Akodon,Muridae,Rodentia,North_America,Abrothrix_sanborni,VertLife
52,Akodon_urichi,Akodon,Muridae,Rodentia,North_America,Necromys_urichi,VertLife
54,Akodon_xanthorhinus,Akodon,Muridae,Rodentia,North_America,Abrothrix_hershkovitzi,ASM
58,Alouatta_coibensis,Alouatta,Cebidae,Primates,South_America,Alouatta_palliata,ASM
68,Ammospermophilus_insularis,Ammospermophilus,Sciuridae,Rodentia,North_America,Ammospermophilus_leucurus,ASM
77,Anoura_caudifera,Anoura,Phyllostomidae,Chiroptera,South_America,Anoura_caudifer,VertLife
85,Aotus_hershkovitzi,Aotus,Cebidae,Primates,South_America,Aotus_lemurinus,ASM
124,Auliscomys_micropus,Auliscomys,Muridae,Rodentia,North_America,Loxodontomys_micropus,VertLife
133,Bassaricyon_beddardi,Bassaricyon,Procyonidae,Carnivora,North_America,Bassaricyon_alleni,ASM
135,Bassaricyon_lasius,Bassaricyon,Procyonidae,Carnivora,North_America,Bassaricyon_gabbii,ASM
136,Bassaricyon_pauli,Bassaricyon,Procyonidae,Carnivora,North_America,Bassaricyon_gabbii,ASM
149,Bolomys_amoenus,Bolomys,Muridae,Rodentia,North_America,Necromys_amoenus,VertLife
150,Bolomys_lactens,Bolomys,Muridae,Rodentia,North_America,Necromys_lactens,VertLife
151,Bolomys_lasiurus,Bolomys,Muridae,Rodentia,North_America,Necromys_lasiurus,VertLife
152,Bolomys_obscurus,Bolomys,Muridae,Rodentia,North_America,Necromys_obscurus,VertLife
153,Bolomys_temchuki,Bolomys,Muridae,Rodentia,North_America,Necromys_temchuki,VertLife
192,Callithrix_acariensis,Callithrix,Callitrichidae,Primates,South_America,Mico_acariensis,VertLife
