ECOREGION_CODE,ECO_NAME,REALM,BIOME,G200_REGIO,New_Biome,New_Biome_2
NA0601,Alaska Peninsula montane taiga,NA,6, ,NA_TeF,NA_TeF
NA1101,Alaska-St. Elias Range tundra,NA,11, ,NA_TeG,NA_TeG
NA0501,Alberta Mountain forests,NA,5, ,NA_TeF,NA_TeF
NA0502,Alberta-British Columbia foothills forests,NA,5, ,NA_TeF,NA_TeF
NA1102,Aleutian Islands tundra,NA,11, ,NA_TeG,NA_TeG
NA0401,Allegheny Highlands forests,NA,4, ,NA_TeF,NA_TeF
NT0150,Alto Parana Atlantic forests,NT,1,Atlantic Forests,AH,YM
NT1401,Amazon-Orinoco-Southern Caribbean mangroves,NT,14,Amazon-Orinoco-Southern Caribbean mangroves,N.A.,N.A.
NA0402,Appalachian mixed mesophytic forests,NA,4,Appalachian and Mixed Mesophytic forests,NA_TeF,NA_TeF
NA0403,Appalachian-Blue Ridge forests,NA,4,Appalachian and Mixed Mesophytic forests,NA_TeF,NA_TeF
NT0201,Apure-Villavicencio dry forests,NT,2, ,SA_TrG,SA_TrG
NT0101,Araucaria moist forests,NT,1,Atlantic Forests,AH,YM
NT1301,Araya and Paria xeric scrub,NT,13, ,SA_TrG,SA_TrG
NA1103,Arctic coastal tundra,NA,11,Alaskan North Slope coastal tundra,NA_TeG,NA_TeG
NA1104,Arctic foothills tundra,NA,11,Alaskan North Slope coastal tundra,NA_TeG,NA_TeG
NA0503,Arizona Mountains forests,NA,5, ,NA_TeF,NA_TeF
NT1303,Atacama desert,NT,13,Atacama-Sechura Deserts,SA_TeG,SA_TeG
NT0102,Atlantic Coast restingas,NT,1,Atlantic Forests,AH,YM
NA0504,Atlantic coastal pine barrens,NA,5, ,NA_TeF,NA_TeF
NT0202,Atlantic dry forests,NT,2,Atlantic Dry Forests,SA_TrF,SA_TrF
NA1105,Baffin coastal tundra,NA,11, ,NA_TeG,NA_TeG
NT0301,Bahamian pine mosaic,NT,3, ,N.A.,N.A.
NT1402,Bahamian-Antillean mangroves,NT,14, ,N.A.,N.A.
NT0103,Bahia coastal forests,NT,1,Atlantic Forests,AH,YM
NT0104,Bahia interior forests,NT,1,Atlantic Forests,AH,YM
NA1301,Baja California desert,NA,13,Sonoran-Baja Deserts,NA_TeG,NA_TeG
