"","SCIENTIFIC_NAME","GENUS","FAMILY","ORDER","Origin_Class","Equivalent","Equivalent_source"
"2","Abrocoma_bennetti","Abrocoma","Abrocomidae","Rodentia","South_America",NA,NA
"7","Aepeomys_fuscatus","Aepeomys","Muridae","Rodentia","North_America",NA,NA
"9","Agouti_paca","Agouti","Agoutidae","Rodentia","South_America",NA,NA
"10","Agouti_taczanowskii","Agouti","Agoutidae","Rodentia","South_America",NA,NA
"22","Akodon_hershkovitzi","Akodon","Muridae","Rodentia","North_America",NA,NA
"23","Akodon_illuteus","Akodon","Muridae","Rodentia","North_America",NA,NA
"26","Akodon_kempi","Akodon","Muridae","Rodentia","North_America",NA,NA
"28","Akodon_lanosus","Akodon","Muridae","Rodentia","North_America",NA,NA
"31","Akodon_longipilis","Akodon","Muridae","Rodentia","North_America",NA,NA
"32","Akodon_mansoensis","Akodon","Muridae","Rodentia","North_America",NA,NA
"37","Akodon_nigrita","Akodon","Muridae","Rodentia","North_America",NA,NA
"38","Akodon_olivaceus","Akodon","Muridae","Rodentia","North_America",NA,NA
"40","Akodon_puer","Akodon","Muridae","Rodentia","North_America",NA,NA
"41","Akodon_sanborni","Akodon","Muridae","Rodentia","North_America",NA,NA
"52","Akodon_urichi","Akodon","Muridae","Rodentia","North_America",NA,NA
"54","Akodon_xanthorhinus","Akodon","Muridae","Rodentia","North_America",NA,NA
"58","Alouatta_coibensis","Alouatta","Cebidae","Primates","South_America",NA,NA
"68","Ammospermophilus_insularis","Ammospermophilus","Sciuridae","Rodentia","North_America",NA,NA
"77","Anoura_caudifera","Anoura","Phyllostomidae","Chiroptera","South_America",NA,NA
"85","Aotus_hershkovitzi","Aotus","Cebidae","Primates","South_America",NA,NA
"124","Auliscomys_micropus","Auliscomys","Muridae","Rodentia","North_America",NA,NA
"133","Bassaricyon_beddardi","Bassaricyon","Procyonidae","Carnivora","North_America",NA,NA
"135","Bassaricyon_lasius","Bassaricyon","Procyonidae","Carnivora","North_America",NA,NA
"136","Bassaricyon_pauli","Bassaricyon","Procyonidae","Carnivora","North_America",NA,NA
"149","Bolomys_amoenus","Bolomys","Muridae","Rodentia","North_America",NA,NA
"150","Bolomys_lactens","Bolomys","Muridae","Rodentia","North_America",NA,NA
"151","Bolomys_lasiurus","Bolomys","Muridae","Rodentia","North_America",NA,NA
"152","Bolomys_obscurus","Bolomys","Muridae","Rodentia","North_America",NA,NA
"153","Bolomys_temchuki","Bolomys","Muridae","Rodentia","North_America",NA,NA
"192","Callithrix_acariensis","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"193","Callithrix_argentata","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"195","Callithrix_chrysoleuca","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"196","Callithrix_emiliae","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"199","Callithrix_humeralifer","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"200","Callithrix_humilis","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"201","Callithrix_intermedia","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"204","Callithrix_leucippe","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"205","Callithrix_manicorensis","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"206","Callithrix_marcai","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"207","Callithrix_mauesi","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"208","Callithrix_melanura","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"209","Callithrix_nigriceps","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"211","Callithrix_pygmaea","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"212","Callithrix_saterei","Callithrix","Callitrichidae","Primates","South_America",NA,NA
"230","Carollia_colombiana","Carollia","Phyllostomidae","Chiroptera","South_America",NA,NA
"280","Chinchilla_brevicaudata","Chinchilla","Chinchillidae","Rodentia","South_America",NA,NA
"291","Chlamyphorus_retusus","Chlamyphorus","Dasypodidae","Xenarthra","South_America",NA,NA
"299","Chroeomys_andinus","Chroeomys","Muridae","Rodentia","North_America",NA,NA
"300","Chroeomys_jelskii","Chroeomys","Muridae","Rodentia","North_America",NA,NA
"303","Clethrionomys_californicus","Clethrionomys","Muridae","Rodentia","North_America",NA,NA
"304","Clethrionomys_gapperi","Clethrionomys","Muridae","Rodentia","North_America",NA,NA
"305","Clethrionomys_rutilus","Clethrionomys","Muridae","Rodentia","North_America",NA,NA
"309","Coendou_koopmani","Coendou","Erethizontidae","Rodentia","South_America",NA,NA
"311","Coendou_rothschildi","Coendou","Erethizontidae","Rodentia","South_America",NA,NA
"323","Cratogeomys_gymnurus","Cratogeomys","Geomyidae","Rodentia","North_America",NA,NA
"325","Cratogeomys_neglectus","Cratogeomys","Geomyidae","Rodentia","North_America",NA,NA
"326","Cratogeomys_tylorhinus","Cratogeomys","Geomyidae","Rodentia","North_America",NA,NA
"327","Cratogeomys_zinseri","Cratogeomys","Geomyidae","Rodentia","North_America",NA,NA
"328","Cryptotis_avia","Cryptotis","Soricidae","Insectivora","North_America",NA,NA
"361","Ctenomys_nattereri","Ctenomys","Ctenomyidae","Rodentia","South_America",NA,NA
"365","Ctenomys_perrensis","Ctenomys","Ctenomyidae","Rodentia","South_America",NA,NA
"416","Dicrostonyx_exsul","Dicrostonyx","Muridae","Rodentia","North_America",NA,NA
"419","Dicrostonyx_kilangmiutak","Dicrostonyx","Muridae","Rodentia","North_America",NA,NA
"431","Diplomys_rufodorsalis","Diplomys","Echimyidae","Rodentia","South_America",NA,NA
"453","Echimys_blainvillei","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"454","Echimys_braziliensis","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"456","Echimys_dasythrix","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"457","Echimys_grandis","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"458","Echimys_lamarum","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"459","Echimys_macrurus","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"460","Echimys_pictus","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"461","Echimys_rhipidurus","Echimys","Echimyidae","Rodentia","South_America",NA,NA
